Stimulus ID, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Phase 2 Response,Phase 1 Response,Final Score,,,Phase 2 Response,Phase 1 Response,,,,,,,
91,7,16,132373,108221,1207,32.25561143,11.82042633,61.43064809,5.312047986,4.762711864,5.288135593,5.025423729,,,,,,,,,,,
92,16,21,2350638,76917,5707,19.45318973,9.936290844,38.41554172,16.72629617,4.459459459,4.504504505,4.481981982,,,,,,,,,,,
93,11,3,681063,52637,16,9.201229176,1.946666255,36.402576,6.022695111,5.96031746,6,5.98015873,,,,,,,,,,,
94,35,65,341105,318267,12160,34.92913991,5.871408307,63.38272211,14.64807276,3.82,3.73,3.775,,,,,,,,,,,
95,10,3,599628,42552,103,36.9480124,138.8085763,46.21753719,5.499936208,5.132075472,5.471698113,5.301886792,,,,,,,,,,,
96,1,2,863974,9224,1579,30.55260954,20.55355587,62.54677886,5.915177073,6.323529412,6.362745098,6.343137255,,,,,,,,,,,
97,2,37,8413,108100,151,60.24340273,15.82513212,36.17513866,5.21529248,4.852631579,5.084210526,4.968421053,,,,,,,,,,,
98,1,1,1587697,8910,25759,35.72055212,24.7258665,47.81516254,9.265644882,5.540540541,5.747747748,5.644144144,,,,,,,,,,,
99,2,2,1463416,11215,214,23.24587795,9.904515473,30.43970634,8.445215824,4.104347826,4.339130435,4.22173913,,,,,,,,,,,
100,63,10,516715,73719,20143,32.45326787,49.26010434,44.7063389,9.824344339,5.183486239,5.339449541,5.26146789,,,,,,,,,,,
101,13,9,94289,34875,1327,61.96985118,15.13596421,71.72922151,4.158852175,5.443708609,5.364238411,5.40397351,,,,,,,,,,,
102,7,8,381682,57781,7963,98.28970943,25.04458165,65.26763634,5.178114906,4.12244898,4.387755102,4.255102041,,,,,,,,,,,
103,8,4,632281,71807,11770,62.81943224,32.75974274,64.25084993,6.553480911,5.805084746,5.855932203,5.830508475,,,,,,,,,,,
104,2,9,1195884,104441,4081,17.89499219,26.0790858,25.97359814,8.974520464,4.814814815,4.833333333,4.824074074,,,,,,,,,,,
105,2,2,1515220,32092,15304,89.80305601,15.05348145,38.20586026,9.033492047,4.584,4.624,4.604,,,,,,,,,,,
106,1,1,738920,18210,925,26.49559025,21.36834117,48.232864,5.128065642,5.178571429,5.508928571,5.34375,,,,,,,,,,,
107,24,23,470323,244116,16,18.48400828,8.071383618,44.49773342,10.00979056,4.694214876,4.785123967,4.739669421,,,,,,,,,,,
108,1,2,643072,37594,4822,98.38647717,18.59119914,118.4944136,6.10790076,3.269230769,3.663461538,3.466346154,,,,,,,,,,,
109,2,1,1095957,21378,10519,35.8287262,12.22968102,71.45268752,7.244087614,6.105769231,6.25,6.177884615,,,,,,,,,,,
110,3,4,2026950,38507,1039,45.13495152,60.61086596,63.54065488,12.06362589,6.097826087,6.065217391,6.081521739,,,,,,,,,,,
111,23,29,478953,229754,8728,56.43529592,7.608714554,74.9312276,11.26787449,5.576271186,5.63559322,5.605932203,,,,,,,,,,,
112,8,15,93241,70100,3235,29.76356483,19.11369819,46.99670128,4.401667085,5.592920354,5.761061947,5.67699115,,,,,,,,,,,
113,16,19,390714,272408,307,22.94992357,7.77807231,47.33741388,9.280491201,4.640350877,4.771929825,4.706140351,,,,,,,,,,,
114,5,4,31555,64954,712,15.90378865,3.409994343,34.7743132,2.905970588,5.043859649,5.228070175,5.135964912,,,,,,,,,,,
115,4,2,437627,4742,1492,64.33004485,10.02984874,90.45825228,4.605910958,4.510204082,4.520408163,4.515306122,,,,,,,,,,,
116,6,23,445505,127814,1894,178.038664,15.98110512,111.0334612,8.22142683,5.570175439,5.570175439,5.570175439,,,,,,,,,,,
117,4,2,754961,5531,1669,26.78501439,18.04282479,44.5210758,5.400626199,6.273504274,6.418803419,6.346153846,,,,,,,,,,,
118,6,10,142791,137499,2308,107.418001,48.08206039,86.47457535,5.327392304,4.8,5.145454545,4.972727273,,,,,,,,,,,
119,24,33,210651,229969,19,62.41024062,16.98532247,91.62656675,10.04945637,4.905982906,5.094017094,5,,,,,,,,,,,
